Device:Vega 20 [Radeon VII] Mem=16.0GB #CUs=60 Freq=1802Mhz  MallocMode=pinned
                   test	       atts	   units	median	mean	stddev	min	max	
 Bidir_Bandwidth_pinned	     8192kB	  GB/sec	22.1603	22.3448	1.3282	20.6494	24.7656	
 Bidir_Bandwidth_pinned	    16384kB	  GB/sec	23.7128	23.8917	0.4521	23.5874	25.0766	
 Bidir_Bandwidth_pinned	    32768kB	  GB/sec	24.8898	25.1041	0.3638	24.8199	25.7351	
 Bidir_Bandwidth_pinned	    65536kB	  GB/sec	25.4888	25.5128	0.1300	25.3234	25.8605	
 Bidir_Bandwidth_pinned	   131072kB	  GB/sec	25.7838	25.8072	0.0729	25.7537	26.0201	
 Bidir_Bandwidth_pinned	   262144kB	  GB/sec	25.9454	25.7268	0.6994	23.6314	26.0662	
 Bidir_Bandwidth_pinned	   524288kB	  GB/sec	26.0309	26.0288	0.0058	26.0121	26.0324	
      Bidir_Time_pinned	     +064By	      ms	0.1356	1.1693	3.1865	0.0411	10.7281	
      Bidir_Time_pinned	     +256By	      ms	0.1046	0.1116	0.0511	0.0368	0.2150	
      Bidir_Time_pinned	     +512By	      ms	0.1193	0.1061	0.0387	0.0394	0.1512	
      Bidir_Time_pinned	        1kB	      ms	0.1390	0.1184	0.0452	0.0389	0.1720	
      Bidir_Time_pinned	        2kB	      ms	0.1094	0.1015	0.0413	0.0402	0.1480	
      Bidir_Time_pinned	        4kB	      ms	0.1408	0.1150	0.0392	0.0357	0.1542	
      Bidir_Time_pinned	        8kB	      ms	0.1057	0.1040	0.0360	0.0403	0.1456	
      Bidir_Time_pinned	       16kB	      ms	0.1362	0.1201	0.0328	0.0651	0.1600	
      Bidir_Time_pinned	       32kB	      ms	0.1371	0.1196	0.0332	0.0718	0.1522	
      Bidir_Time_pinned	       64kB	      ms	0.0961	0.1071	0.0416	0.0390	0.1565	
      Bidir_Time_pinned	      128kB	      ms	0.1098	0.1127	0.0440	0.0509	0.1827	
      Bidir_Time_pinned	      256kB	      ms	0.1600	0.1572	0.0420	0.0894	0.2434	
      Bidir_Time_pinned	      512kB	      ms	0.1548	0.1432	0.0407	0.0803	0.1898	
      Bidir_Time_pinned	     1024kB	      ms	0.2169	0.1974	0.0327	0.1445	0.2354	
      Bidir_Time_pinned	     2048kB	      ms	0.2934	0.2789	0.0297	0.2325	0.3085	
      Bidir_Time_pinned	     4096kB	      ms	0.4499	0.4345	0.0341	0.3795	0.4826	
      Bidir_Time_pinned	     8192kB	      ms	0.7575	0.7535	0.0442	0.6774	0.8125	
      Bidir_Time_pinned	    16384kB	      ms	1.4150	1.4049	0.0257	1.3381	1.4226	
      Bidir_Time_pinned	    32768kB	      ms	2.6962	2.6738	0.0383	2.6077	2.7038	
      Bidir_Time_pinned	    65536kB	      ms	5.2658	5.2609	0.0266	5.1901	5.3002	
      Bidir_Time_pinned	   131072kB	      ms	10.4110	10.4017	0.0292	10.3165	10.4232	
      Bidir_Time_pinned	   262144kB	      ms	20.6923	20.8848	0.6119	20.5965	22.7185	
      Bidir_Time_pinned	   524288kB	      ms	41.2487	41.2521	0.0093	41.2464	41.2785	

Note: results marked with (*) had missing values such as
might occur with a mixture of architectural capabilities.
