Device:Vega 20 [Radeon VII] Mem=16.0GB #CUs=60 Freq=1802Mhz  MallocMode=unpinned
                   test	       atts	   units	median	mean	stddev	min	max	
    Bidir_Time_unpinned	     8192kB	      ms	2.8850	3.3336	1.3286	2.5168	7.2646	
    Bidir_Time_unpinned	    16384kB	      ms	5.6729	6.7120	3.3442	5.0123	16.6340	
    Bidir_Time_unpinned	    32768kB	      ms	10.1668	10.4095	0.7603	9.5473	12.1894	
    Bidir_Time_unpinned	    65536kB	      ms	20.6837	24.1151	5.9510	18.3515	35.5399	
    Bidir_Time_unpinned	   131072kB	      ms	39.9066	44.7223	10.0149	36.4243	66.5754	
    Bidir_Time_unpinned	   262144kB	      ms	78.4105	84.7394	16.8469	75.5139	134.2071	
    Bidir_Time_unpinned	   524288kB	      ms	156.8303	167.3552	34.9455	142.9512	269.1874	

Note: results marked with (*) had missing values such as
might occur with a mixture of architectural capabilities.
